Brand,Product,Total price,Grams,Total Calories,Total Protein,Price per protein,Calories per protein,Trustified
Asitis,Atom Whey Protein,2000,1000,3920,798,2.51,4.91,Pass
Nakpro,Gold whey Protein,1849,1000,3920,723,2.56,5.42,Pass
Avvatar,100% Performance whey,2100,1000,4089,812,2.59,5.04,Pass
MuscleBlaze,80% Raw Whey Protein,2100,1000,3950,800,2.63,4.94,Pass
Amul,Whey protein,2000,960,3840,749,2.67,5.13,N/A
Muscle Nector,Raw whey Concentrate,2200,1000,3894,792,2.78,4.92,N/A
Nutrabay,Pure Whey Protein Concentrate,2200,1000,4049,772,2.85,5.24,Pass
Fuel One,Whey Iso-Max,2800,1000,3775,900,3.11,4.19,Pass
Nutrabox,"Raw Whey Protein
",2535,1000,4333,800,3.17,5.42,Pass
My Protein,Impact Whey protein,2500,1000,3880,770,3.25,5.04,Pass
Muscle Nector,100% Whey Protein Powder (Blend of Concentrate & Isolate) with Digestive Enzymes,2400,1000,3630,720,3.33,5.04,Pass
Asitis,Atom Whey Isolate,3150,1000,3696,891,3.54,4.15,Pass
Naturaltein,Whey Protein Concentrate,2890,1000,4030,800,3.61,5.04,Pass
Nutrabay,Pure Whey Protein Isolate,3400,1000,3762,875,3.89,4.3,Pass
Avvatar,Nitro Iso Whey,5700,2000,6850,1425,4,4.81,Pass - Gold Certified
MuscleBlaze,Biozyme Performance Whey,2200,750,3015,525,4.19,5.74,Pass - Gold Certified
Nutrabox,Raw Whey Isolate,3800,1000,3790,900,4.22,4.21,Pass
The Whole Truth,Cold Coffee 15g Protein Powder,2200,1000,3950,500,4.4,7.9,Pass - Gold Certified
My Protein,Impact whey Isolate,3699,1000,3680,840,4.4,4.38,Pass
Nutrabox,Ripped Whey Isolate,3800,1000,4024,818,4.64,4.92,Pass
Naturaltein,Whey Protein Isolate,4390,1000,3750,900,4.88,4.17,Pass
Optimum Nutrition,Gold Standard - Double Rich Chocolate,3500,907,3474,717,4.88,4.85,N/A
The Whole Truth,Unflavoured 30 g Pure Whey Protein Isolate,4443,1000,3775,869,5.11,4.34,Pass - Gold Certified
The Whole Truth,Cold Coffee 24 g Protein Powder,3777,1000,3830,710,5.32,5.39,Pass - Gold Certified
